요일,기상상태,도로형태,노면상태,사고유형,주소,연휴,년도,월,일,시간,설치장소,설치개수,CCTV설치대수,급지구분_1,급지구분_2,급지구분_3
토요일,맑음,교차로 - 교차로안,건조,차대사람,수성구 상동,1,2022,1,1,1,4.0,700.0,0.0,0.0,0.0,0.0
토요일,맑음,단일로 - 기타,건조,차대사람,수성구 지산동,1,2022,1,1,1,7.0,0.0,0.0,0.0,0.0,2.0
토요일,맑음,교차로 - 교차로안,건조,차대차,수성구 수성동2가,1,2022,1,1,4,1.0,0.0,0.0,0.0,0.0,0.0
토요일,맑음,단일로 - 기타,건조,차대차,수성구 신매동,1,2022,1,1,4,11.0,0.0,0.0,0.0,2.0,1.0
토요일,맑음,교차로 - 교차로안,건조,차대차,달서구 감삼동,1,2022,1,1,6,12.0,932.0,0.0,0.0,1.0,3.0
토요일,맑음,단일로 - 기타,건조,차대차,중구 달성동,1,2022,1,1,12,0.0,192.0,0.0,4.0,0.0,0.0
토요일,맑음,교차로 - 교차로안,건조,차대차,동구 신암동,1,2022,1,1,13,12.0,2064.0,0.0,0.0,1.0,0.0
토요일,맑음,교차로 - 교차로횡단보도내,건조,차대사람,서구 평리동,1,2022,1,1,13,12.0,0.0,0.0,0.0,12.0,9.0
토요일,맑음,단일로 - 기타,건조,차대차,달서구 송현동,1,2022,1,1,15,17.0,1365.0,0.0,0.0,7.0,7.0
토요일,맑음,교차로 - 교차로안,건조,차대차,달서구 두류동,1,2022,1,1,15,12.0,1290.0,0.0,0.0,3.0,3.0
토요일,맑음,단일로 - 기타,건조,차대차,북구 매천동,1,2022,1,1,16,3.0,138.0,14.0,0.0,0.0,0.0
토요일,맑음,단일로 - 기타,건조,차대사람,달서구 송현동,1,2022,1,1,18,17.0,1365.0,0.0,0.0,7.0,7.0
토요일,맑음,단일로 - 기타,건조,차대차,달서구 상인동,1,2022,1,1,18,30.0,843.0,0.0,0.0,0.0,5.0
토요일,맑음,단일로 - 기타,건조,차대사람,달서구 진천동,1,2022,1,1,19,9.0,627.0,0.0,0.0,1.0,3.0
토요일,맑음,단일로 - 기타,건조,차대사람,중구 삼덕동1가,1,2022,1,1,20,4.0,90.0,0.0,8.0,0.0,0.0
토요일,맑음,교차로 - 교차로안,건조,차대차,달서구 상인동,1,2022,1,1,21,30.0,843.0,0.0,0.0,0.0,5.0
토요일,맑음,교차로 - 교차로부근,건조,차대차,중구 동문동,1,2022,1,1,21,0.0,27.0,0.0,4.0,0.0,0.0
토요일,맑음,단일로 - 기타,건조,차대차,달서구 성당동,1,2022,1,1,21,6.0,46.0,0.0,0.0,1.0,2.0
토요일,맑음,단일로 - 지하차도(도로)내,건조,차대차,북구 동천동,1,2022,1,1,21,3.0,70.0,14.0,0.0,0.0,7.0
토요일,맑음,교차로 - 교차로안,건조,차대차,북구 태전동,1,2022,1,1,21,9.0,306.0,50.0,0.0,14.0,1.0
일요일,맑음,단일로 - 기타,젖음/습기,차량단독,남구 대명동,1,2022,1,2,4,62.0,5377.0,106.0,20.0,1.0,0.0
일요일,맑음,단일로 - 기타,건조,차대사람,남구 대명동,1,2022,1,2,9,62.0,5377.0,106.0,20.0,1.0,0.0
일요일,맑음,기타 - 기타,건조,차대차,달서구 대곡동,1,2022,1,2,9,13.0,136.0,0.0,0.0,0.0,0.0
일요일,맑음,교차로 - 교차로안,건조,차대차,북구 복현동,1,2022,1,2,10,10.0,534.0,32.0,0.0,9.0,5.0
일요일,맑음,단일로 - 기타,건조,차대차,달서구 본리동,1,2022,1,2,11,11.0,258.0,0.0,0.0,3.0,1.0
일요일,맑음,교차로 - 교차로부근,건조,차대차,달서구 감삼동,1,2022,1,2,11,12.0,932.0,0.0,0.0,1.0,3.0
일요일,맑음,단일로 - 기타,건조,차대차,수성구 범어동,1,2022,1,2,12,12.0,0.0,0.0,1.0,3.0,0.0
일요일,맑음,단일로 - 교량,건조,차대차,북구 태전동,1,2022,1,2,13,9.0,306.0,50.0,0.0,14.0,1.0
일요일,맑음,단일로 - 기타,건조,차대사람,수성구 황금동,1,2022,1,2,14,9.0,0.0,0.0,0.0,2.0,1.0
일요일,맑음,교차로 - 교차로안,건조,차대차,달서구 상인동,1,2022,1,2,14,30.0,843.0,0.0,0.0,0.0,5.0
일요일,맑음,교차로 - 교차로부근,건조,차대차,달서구 호산동,1,2022,1,2,14,10.0,213.0,0.0,0.0,0.0,1.0
일요일,맑음,단일로 - 기타,건조,차대차,달서구 상인동,1,2022,1,2,17,30.0,843.0,0.0,0.0,0.0,5.0
일요일,맑음,교차로 - 교차로안,건조,차대차,중구 동인동1가,1,2022,1,2,17,0.0,119.0,0.0,6.0,0.0,0.0
일요일,맑음,단일로 - 기타,서리/결빙,차량단독,남구 이천동,1,2022,1,2,18,8.0,556.0,22.0,3.0,0.0,0.0
일요일,맑음,단일로 - 기타,건조,차대차,수성구 범어동,1,2022,1,2,18,12.0,0.0,0.0,1.0,3.0,0.0
일요일,맑음,단일로 - 기타,건조,차대사람,중구 삼덕동1가,1,2022,1,2,18,4.0,90.0,0.0,8.0,0.0,0.0
일요일,맑음,기타 - 기타,젖음/습기,차량단독,남구 이천동,1,2022,1,2,19,8.0,556.0,22.0,3.0,0.0,0.0
일요일,맑음,교차로 - 교차로안,건조,차대차,수성구 범어동,1,2022,1,2,19,12.0,0.0,0.0,1.0,3.0,0.0
일요일,맑음,단일로 - 기타,건조,차대차,달성군 유가읍,1,2022,1,2,19,16.0,454.0,0.0,0.0,0.0,2.0
일요일,맑음,교차로 - 교차로안,건조,차대차,달서구 월암동,1,2022,1,2,20,3.0,96.0,0.0,0.0,0.0,8.0
일요일,맑음,단일로 - 기타,건조,차대사람,중구 삼덕동1가,1,2022,1,2,20,4.0,90.0,0.0,8.0,0.0,0.0
일요일,맑음,단일로 - 기타,건조,차대사람,북구 동호동,1,2022,1,2,20,0.0,60.0,0.0,0.0,0.0,1.0
월요일,맑음,단일로 - 기타,건조,차량단독,달서구 대곡동,0,2022,1,3,5,13.0,136.0,0.0,0.0,0.0,0.0
월요일,맑음,교차로 - 교차로부근,건조,차대차,달서구 죽전동,0,2022,1,3,6,2.0,399.0,0.0,0.0,3.0,1.0
월요일,맑음,교차로 - 교차로횡단보도내,건조,차대사람,달서구 진천동,0,2022,1,3,7,9.0,627.0,0.0,0.0,1.0,3.0
월요일,맑음,기타 - 기타,건조,차대사람,달서구 본동,0,2022,1,3,8,8.0,290.0,0.0,0.0,0.0,2.0
월요일,맑음,기타 - 기타,건조,차대차,달서구 도원동,0,2022,1,3,9,13.0,91.0,0.0,0.0,0.0,2.0
월요일,맑음,단일로 - 기타,건조,차대사람,달성군 다사읍,0,2022,1,3,10,52.0,876.0,4.0,0.0,0.0,2.0
월요일,맑음,교차로 - 교차로부근,건조,차대차,수성구 황금동,0,2022,1,3,11,9.0,0.0,0.0,0.0,2.0,1.0
월요일,맑음,단일로 - 기타,건조,차대차,달서구 용산동,0,2022,1,3,11,33.0,480.0,0.0,0.0,2.0,2.0
월요일,맑음,기타 - 기타,건조,차대차,수성구 황금동,0,2022,1,3,12,9.0,0.0,0.0,0.0,2.0,1.0
월요일,맑음,교차로 - 교차로안,건조,차대차,달서구 유천동,0,2022,1,3,12,10.0,65.0,0.0,0.0,0.0,0.0
월요일,맑음,단일로 - 기타,건조,차대차,북구 산격동,0,2022,1,3,12,12.0,968.0,34.0,0.0,29.0,13.0
월요일,맑음,단일로 - 기타,건조,차대차,달서구 파호동,0,2022,1,3,12,6.0,37.0,0.0,0.0,0.0,1.0
월요일,맑음,단일로 - 기타,건조,차대차,동구 효목동,0,2022,1,3,13,4.0,1164.0,0.0,0.0,0.0,0.0
월요일,맑음,기타 - 기타,건조,차대차,달서구 상인동,0,2022,1,3,13,30.0,843.0,0.0,0.0,0.0,5.0
